Clock_Round,Service_Area,Band,Bidder,bid_decision,No of block(s ) selecte d,prov_win_bid,Provisi onally Allocat ed Block( s) at end of clock round,prov_rank
4,Tamil Nadu,700,Vodafone,No,0,0,0,0
4,Tamil Nadu,800,Bharti,No,0,0,0,0
4,Tamil Nadu,800,Jio,No,0,217.5,8,1
4,Tamil Nadu,800,Vodafone,No,0,0,0,0
4,Tamil Nadu,900,Bharti,No,0,47,25,1
4,Tamil Nadu,900,Jio,No,0,0,0,0
4,Tamil Nadu,900,Vodafone,No,0,47,25,2
4,Tamil Nadu,1800,Bharti,No,0,20,50,1
4,Tamil Nadu,1800,Jio,No,0,20,16,2
4,Tamil Nadu,1800,Vodafone,No,0,0,0,0
4,Tamil Nadu,2300,Bharti,No,0,0,0,0
4,Tamil Nadu,2300,Jio,No,0,1510,1,1
4,Tamil Nadu,2300,Vodafone,No,0,0,0,0
4,Tamil Nadu,2500,Bharti,No,0,0,0,0
4,Tamil Nadu,2500,Jio,No,0,0,0,0
4,Tamil Nadu,2500,Vodafone,No,0,0,0,0
4,Uttar Pradesh (East),700,Bharti,No,0,0,0,0
4,Uttar Pradesh (East),700,Jio,No,0,0,0,0
4,Uttar Pradesh (East),700,Vodafone,No,0,0,0,0
4,Uttar Pradesh (East),800,Bharti,No,0,0,0,0
4,Uttar Pradesh (East),800,Jio,No,0,313.75,4,1
4,Uttar Pradesh (East),800,Vodafone,No,0,0,0,0
4,Uttar Pradesh (East),900,Bharti,No,0,52.4,25,1
4,Uttar Pradesh (East),900,Jio,No,0,0,0,0
4,Uttar Pradesh (East),900,Vodafone,No,0,0,0,0
4,Uttar Pradesh (East),1800,Bharti,No,0,30.6,16,2
4,Uttar Pradesh (East),1800,Jio,No,0,30.6,18,1
4,Uttar Pradesh (East),1800,Vodafone,No,0,30.6,7,3
4,Uttar Pradesh (East),2300,Bharti,No,0,90,2,2
4,Uttar Pradesh (East),2300,Jio,No,0,90,2,1
4,Uttar Pradesh (East),2300,Vodafone,No,0,0,0,0
4,Uttar Pradesh (West),700,Bharti,No,0,0,0,0
4,Uttar Pradesh (West),700,Jio,No,0,0,0,0
